,DFS_time,DFS_len,BFS_time,BFS_len,AStar_time,AStar_len
186,0.0,3,0.0,3,0.0,3
187,0.0,2,0.0,2,0.0,2
188,0.0,4,0.0,4,0.0,4
189,0.0,15,0.0,1,0.0,3
190,0.0,25,0.0,7,0.0,7
191,0.0,29,0.0,9,0.0,9
192,0.0,27,0.0,27,0.0,27
193,0.0,3,0.0,1,0.0,3
194,0.0,23,0.0,17,0.0,23
195,0.0,12,0.0,8,0.0,8
196,0.0,14,0.0,12,0.0,14
197,0.0,9,0.0010001659393310547,9,0.0,9
198,0.0,32,0.0,20,0.0,20
199,0.0,15,0.0,15,0.0,15
200,0.0,27,0.0,9,0.0,9
201,0.0,2,0.0,2,0.0,2
202,0.0,25,0.0,19,0.0,19
203,0.0,9,0.0,9,0.0,15
204,0.0,15,0.0,5,0.0,5
205,0.0,24,0.0,20,0.0,20
206,0.0,26,0.0,10,0.0,10
207,0.0,9,0.0,7,0.0,7
208,0.0,9,0.0,3,0.0,3
209,0.0,28,0.0,2,0.0,2
210,0.0,11,0.0,9,0.0,9
211,0.0,28,0.0,14,0.0,24
212,0.0,22,0.0,8,0.0,8
213,0.0,19,0.0,11,0.0,11
214,0.0,28,0.0,24,0.0,24
215,0.0,29,0.0,11,0.0,29
216,0.0,9,0.0010006427764892578,9,0.0,9
217,0.0,7,0.0,3,0.0,3
218,0.0,8,0.0,8,0.0,8
219,0.0,3,0.0,3,0.0,3
220,0.0,12,0.0,12,0.00099945068359375,12
221,0.0,19,0.0,19,0.0,19
222,0.0,4,0.0,4,0.0,4
223,0.0,26,0.0,4,0.0,4
224,0.0010001659393310547,10,0.0,8,0.0,10
225,0.0,31,0.0,19,0.0,19
226,0.0,29,0.0,17,0.0,23
227,0.0,8,0.0010001659393310547,8,0.0,8
228,0.0,8,0.0,8,0.0,8
229,0.0,12,0.0,2,0.0,2
230,0.0,17,0.0,5,0.0,5
231,0.0,21,0.0,9,0.0,21
232,0.0010004043579101562,12,0.0,12,0.0,12
233,0.0,2,0.0,2,0.0,2
234,0.0,3,0.0,1,0.0,3
235,0.0,7,0.0,7,0.0,7
236,0.0,3,0.0,3,0.0,3
237,0.0,5,0.0010006427764892578,5,0.0,5
238,0.0,5,0.0,5,0.0,5
239,0.0,5,0.0,5,0.0,5
240,0.0,11,0.0,9,0.0,11
241,0.0,13,0.0,7,0.0,7
242,0.0,17,0.0,15,0.0009999275207519531,15
243,0.0,9,0.0,9,0.0,9
244,0.0,10,0.0,10,0.0,12
245,0.0,5,0.0,5,0.0,5
246,0.0,29,0.0,7,0.0,7
247,0.0,26,0.0,10,0.0,26
248,0.0,3,0.0,3,0.0,3
249,0.0,25,0.0,3,0.0,3
250,0.0,14,0.0,14,0.0,18
251,0.0,2,0.0,2,0.0,2
252,0.0,30,0.0,8,0.0,20
253,0.0,7,0.0,7,0.0,7
254,0.0,42,0.0,4,0.0,4
255,0.0,9,0.0,9,0.0,11
256,0.0,26,0.0,2,0.0,2
257,0.0,3,0.0,3,0.0,3
258,0.0,5,0.0,5,0.0,5
259,0.0,13,0.0,5,0.0,5
260,0.0,6,0.0,4,0.0,4
261,0.0,10,0.0,10,0.0,10
262,0.0,22,0.0,16,0.0,16
263,0.0,11,0.0,7,0.0,7
264,0.0,13,0.0,11,0.0,15
265,0.0,4,0.0,4,0.0,4
266,0.0,14,0.0,8,0.0,8
267,0.0,25,0.0010001659393310547,9,0.0,17
268,0.0,3,0.0,1,0.0,3
269,0.0,6,0.0,6,0.0,6
270,0.0,6,0.0,6,0.0,6
271,0.0,4,0.0,4,0.0,4
272,0.0,3,0.0,1,0.0010008811950683594,3
273,0.0,11,0.0,11,0.0,11
274,0.0,24,0.0,10,0.0,10
275,0.0,20,0.0,18,0.0,20
276,0.0009999275207519531,7,0.0,3,0.0,3
277,0.0,12,0.0,12,0.0,12
278,0.0,29,0.0,5,0.0,5
279,0.0,13,0.0,13,0.0,13
280,0.0,19,0.0,11,0.0010004043579101562,19
281,0.0,8,0.0,8,0.0,8
282,0.0,20,0.0,12,0.0,12
283,0.0,5,0.0,5,0.0,5
284,0.0,3,0.0,3,0.0,3
285,0.0,31,0.0,3,0.0,3
286,0.0,6,0.0,6,0.0,6
287,0.0,9,0.0,9,0.0,9
288,0.0,14,0.0,14,0.0009996891021728516,14
289,0.0,15,0.0,15,0.0,15
290,0.0,17,0.0,3,0.0,3
291,0.0,7,0.0,7,0.0,7
292,0.0010001659393310547,17,0.0,7,0.0,7
293,0.0,5,0.0,5,0.0,5
294,0.0,25,0.0,25,0.0,25
295,0.0,23,0.0,23,0.0010004043579101562,23
296,0.0,12,0.0,12,0.0,12
297,0.0,10,0.0,4,0.0,4
298,0.0,9,0.0,9,0.0,9
299,0.0,7,0.0,3,0.0,3
300,0.0010001659393310547,32,0.0,8,0.0,8
301,0.0,16,0.0,2,0.0,2
302,0.0,23,0.0,23,0.0,23
303,0.0,2,0.0,2,0.0,2
304,0.0010001659393310547,12,0.0,12,0.0,14
305,0.0,14,0.0,8,0.0,8
306,0.0,6,0.0,6,0.0,6
307,0.0,10,0.0,10,0.0,10
308,0.0,24,0.0,6,0.0,6
309,0.0,19,0.0,7,0.0,19
